beta 100tips alltips 25tips 
2e-04 4249.49942326943 4415.16427360309 4334.42596783886 
4e-04 4723.7615014964 4889.42635183006 4808.68804606583 
6e-04 4989.74175926829 5155.40660960196 5074.66830383772 
8e-04 5170.44709922496 5336.11194955862 5255.37364379439 
0.001 5304.42654987803 5470.0914002117 5389.35309444746 
0.0012 5408.85087649842 5574.51572683209 5493.77742106785 
0.0014 5492.87948819494 5658.54433852861 5577.80603276437 
0.0016 5561.97973595667 5727.64458629034 5646.9062805261 
0.0018 5619.67817327348 5785.34302360714 5704.60471784291 
0.002 5668.38270611133 5834.047556445 5753.30925068076 
0.0022 5709.81079579123 5875.4756461249 5794.73734036066 
0.0024 5745.23055223331 5910.89540256698 5830.15709680275 
0.0026 5775.60499209052 5941.26984242418 5860.53153665995 
0.0028 5801.68268343139 5967.34753376506 5886.60922800083 
0.003 5824.05704188953 5989.7218922232 5908.98358645896 
0.0032 5843.20645069472 6008.87130102838 5928.13299526415 
0.0034 5859.52219639138 6025.18704672505 5944.44874096081 
0.0036 5873.3284075131 6038.99325784677 5958.25495208253 
0.0038 5884.89659521434 6050.56144554801 5969.82313978377 
0.004 5894.45645985251 6060.12131018617 5979.38300442194 
0.0042 5902.20405821278 6067.86890854644 5987.13060278221 
0.0044 5908.308069034 6073.97291936767 5993.23461360344 
0.0046 5912.91466463688 6078.57951497054 5997.84120920631 
0.0048 5916.15134497765 6081.81619531132 6001.07788954709 
0.005 5918.1299885119 6083.79483884557 6003.05653308133 
0.0052 5918.94930433645 6084.61415467011 6003.87584890588 
0.0054 5918.69682129762 6084.36167163129 6003.62336586705 
0.0056 5917.4505151789 6083.11536551257 6002.37705974833 
0.0058 5915.28015022384 6080.9450005575 6000.20669479327 
0.006 5912.24839313863 6077.9132434723 5997.17493770806 
0.0062 5908.41174436404 6074.07659469771 5993.33828893348 
0.0064 5903.82132144539 6069.48617177905 5988.74786601482 
0.0066 5898.52352182169 6064.18837215536 5983.45006639112 
0.0068 5892.56058664363 6058.2254369773 5977.48713121306 
0.007 5885.97108284146 6051.63593317513 5970.89762741089 
0.0072 5878.79031726692 6044.45516760058 5963.71686183635 
0.0074 5871.0506940807 6036.71554441436 5955.97723865013 
0.0076 5862.78202446976 6028.44687480343 5947.70856903919 
0.0078 5854.01179612731 6019.67664646097 5938.93834069674 
0.008 5844.7654086095 6010.43025894316 5929.69195317893 
0.0082 5835.06637962651 6000.73122996017 5919.99292419594 
0.0084 5824.93652647134 5990.601376805 5909.86307104077 
0.0086 5814.39612609789 5980.06097643156 5899.32267066732 
0.0088 5803.46405679416 5969.12890712782 5888.39060136359 
0.009 5792.15792393262 5957.82277426629 5877.08446850205 
0.0092 5780.4941718986 5946.15902223226 5865.42071646803 
0.0094 5768.48818398016 5934.15303431383 5853.41472854959 
0.0096 5756.15437174096 5921.81922207463 5841.0809163104 
0.0098 5743.50625517733 5909.17110551099 5828.43279974676 
0.01 5730.55653477679 5896.22138511045 5815.48307934622 
